"","Land","Naam","Geboortedatum","Seizoenen"
"174","Servië","Ilic, Aleksandar Aleksandar Ilic","20-06-1969","2000-2003"
"175","Oekraïne","Jakovenko, Oleksandr Oleksandr Jakovenko","23-06-1987","2008-2009, 2011, 2012-2013"
"176","Servië","Jankovic, Milan Milan Jankovic","31-12-1959","1988-1990"
"177","België","Janssen, Pier Pier Janssen","09-09-1956","1985-1989"
"178","België","Janssens, Jean-Pierre Jean-Pierre Janssens","16-09-1937","1961-1964"
"179","België","Jaspers, Raymond Raymond Jaspers","31-08-1954","1979-1981"
"180","België","Jbari, Nordin Nordin Jbari","02-05-1975","1995-1996"
"181","Servië","Jestrovic, Nenad Nenad Jestrovic","09-05-1976","2001-2005"
"182","Ghana","Johnson, Samuel Samuel Johnson","25-07-1973","1996-1998"
"183","Kroatië","Jovanic, Micun Micun Jovanic","29-08-1952","1981-1983"
"184","Servië","Jovanovic, Milan Milan Jovanovic","18-04-1981","2011-2013"
"185","Hongarije","Juhász, Roland Roland Juhász","01-07-1983","2005-2011"
"186","België","Jurion, Jef Jef Jurion","24-02-1937","1954-1968"
"187","Congo-Kinshasa","Kabananga, Junior Junior Kabananga","04-04-1989","2010-2011"
"188","Congo-Kinshasa","Kabangu, Patou Patou Kabangu","31-12-1985","2012"
"189","België","Kabasele, Nathan Nathan Kabasele","14-01-1994","2010-2011, 2012, 2014-2016"
"190","Congo-Kinshasa","Kabongo, Eugène Eugène Kabongo","03-11-1960","1986-1987"
"191","België","Kaminski, Thomas Thomas Kaminski","23-10-1992","2012-2014"
"192","Brazilië","Kanu","23-09-1987","2008-2013"
"193","Turkije","Karaca, Yasin Yasin Karaca","16-12-1983","2001"
"194","België","Karagiannis, Emmanuel Emmanuel Karagiannis","22-11-1966","1995-1996"
"195","Bosnië en Herzegovina","Katana, Suad Suad Katana","06-04-1969","1996-1998"
"196","België","Kawaya, Andy Andy Kawaya","23-08-1996","2013-2015, 2016-2017"
"197","Nigeria","Keshi, Stephen Stephen Keshi","31-01-1961","1987-1991"
"198","Congo-Kinshasa","Kialunda, Julien Julien Kialunda","24-04-1940","1965-1972"
"199","Verenigde Staten","Kljestan, Sacha Sacha Kljestan","09-09-1985","2010-2015"
"200","Tsjechië","Kolár, Martin Martin Kolár","18-09-1983","2002-2005"
"201","Tsjechië","Koller, Jan Jan Koller","30-03-1973","1999-2001"
"202","België","Kompany, Vincent Vincent Kompany","10-04-1986","2003-2006"
"203","Oostenrijk","Koncilia, Friedrich Friedrich Koncilia","25-02-1948","1979"
"204","Congo-Kinshasa","Konkwe, Zacharie Zacharie Konkwe","09-01-1943","1963-1967"
"205","Luxemburg","Konter, François François Konter","20-02-1935","1961-1966"
"206","Nederland","Kooiman, Wim Wim Kooiman","09-09-1960","1988-1994"
"207","Senegal","Kouyaté, Cheikhou Cheikhou Kouyaté","21-12-1989","2008-2014"
"208","Australië","Krncevic, Edi Edi Krncevic","14-08-1960","1986-1989"
"209","Nederland","Kruiswijk, Arnold Arnold Kruiswijk","02-11-1984","2008-2009"
"210","Congo-Kinshasa","Kudimbana, Nicaise Nicaise Kudimbana","21-01-1987","2009-2011, 2014-2015"
